what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415344654550
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415344654560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415348913256
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415348913488
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415348915248
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415348915471
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415348915551
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415348929388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415348935475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415348938638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415348944196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415348964827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415349102246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415349250942
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415349250981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415349767997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415349870980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415349877136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415349995701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415349996754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415350173742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415350178663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415350241351
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415350248739
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415350249044
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415350249091
error,log,,,"Unexpected runtime error while computing a text hover",1415350256359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1415350262447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1415350263062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415350265434
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1415350266033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1415350267386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415350269586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1415350269618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415350270245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415350279420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415350280703
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415350282315
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415350283255
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415350283302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415350285036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1415350285059
