what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415272287860
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415272287860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415272299484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415272300264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415272313942
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415272323489
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415272324831
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415272324862
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415272334068
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415272334068
error,log,,,"Unexpected runtime error while computing a text hover",1415272342492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415272357703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415272361306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415272397424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415272447202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415272452459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1415272453614
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.indent",1415272454255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415272455147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415272462479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415272463852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415272476927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415272493402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415272511568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415272518107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274525500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274538841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274541396
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415274543321
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415274546285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415274563361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415274563829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415274564110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415274564313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1415274565483
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.indent",1415274566029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415274567230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415274570960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415274588076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274589948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274609635
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415274614551
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415274614863
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415274614894
error,log,,,"Unexpected runtime error while computing a text hover",1415274618454
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415274623929
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415274623929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274625208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274843371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274857033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274879922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415274888357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274891281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274895512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274898104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415274940901
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415274942476
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415274942476
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415274943288
