what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1415257541278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1415257541278
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415257545053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415257547440
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1415257556944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415257572506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257574846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257603396
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415257619161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1415257620706
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415257622536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415257624254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257625237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257639904
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415257644700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257658081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257670806
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415257670822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257671586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257682878
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415257688463
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415257688728
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415257688775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257694159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257694954
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415257699556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415257709369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257719056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257798818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415257805329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257807747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257826898
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415257829789
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415257832443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257836250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257849420
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415257850887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1415257853726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257854911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257867833
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415257869299
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1415257871015
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415257871422
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415257872906
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415257873545
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415257875216
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.publish",1415257877618
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415257880036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257881674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257894749
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415257899681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415257902146
