what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415270860752
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415270862546
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415270862577
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415270864636
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415270864919
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415270864950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1415270867542
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.indent",1415270868322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415270869273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1415270884604
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.indent",1415270885103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415270885883
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415270887537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270888504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415270889724
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1415270890785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415270891674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270892456
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1415270892471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1415270892471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270894437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270913741
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415270917829
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415270920435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1415270922046
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415270925198
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1415270927007
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415270927398
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415270928627
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415270929095
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415270931094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270932423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270941295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270944805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270960752
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415270962643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270963879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415270965298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270965891
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1415270965891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1415270965891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270966281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415270984822
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415270987460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415270991551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415270991863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415270999137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415271006614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415271009160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271012251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271029408
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415271031066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271044918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271217625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271218933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271350774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415271355198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415271359579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271361421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271375527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271384778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271388059
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415271392709
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415271393629
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415271397094
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415271397391
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415271397937
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415271398218
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415271400339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271467520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271468662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271471611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271476193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271488059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271489169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271511464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271515076
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415271516262
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415271516262
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415271516933
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415271516933
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415271518836
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415271518867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271528089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1415271528089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271553364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415271556999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271559620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271559729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271564580
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1415271564596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271565922
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415271565937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271566639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415271567640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271568279
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1415271568295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1415271568295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271568950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271618262
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415271620742
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415271620773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271635306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271637740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415271645420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415271650432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271651617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415271652274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415271654820
